Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?a  term10  ?f  ?b  term6  ?f   => ?a  term22  ?b	0.588235294	0.066815145	0.162162162	90	1347	555	?a	0.0	0.0	0.0
?b  term18  ?f  ?a  term9  ?f   => ?a  term22  ?b	0.562091503	0.079044118	0.153024911	86	1088	562	?a	0.0	0.0	0.0
?f  term11  ?a  ?b  term22  ?f   => ?a  term22  ?b	0.607843137	0.187122736	0.360465116	93	497	258	?a	0.0	0.0	0.0
?f  term1  ?a  ?b  term22  ?f   => ?a  term22  ?b	0.117647059	0.050561798	0.121621622	18	356	148	?a	0.0	0.0	0.0
?f  term10  ?a  ?b  term22  ?f   => ?a  term22  ?b	0.660130719	0.278236915	0.299703264	101	363	337	?a	0.0	0.0	0.0
?a  term11  ?f  ?b  term18  ?f   => ?a  term22  ?b	0.633986928	0.099080695	0.18164794	97	979	534	?a	0.0	0.0	0.0
?a  term11  ?f  ?b  term22  ?f   => ?a  term22  ?b	0.640522876	0.18490566	0.325581395	98	530	301	?a	0.0	0.0	0.0
?f  term2  ?a  ?b  term22  ?f   => ?a  term22  ?b	0.045751634	0.061946903	0.137254902	7	113	51	?a	0.0	0.0	0.0
?a  term10  ?f  ?b  term22  ?f   => ?a  term22  ?b	0.60130719	0.161403509	0.340740741	92	570	270	?a	0.0	0.0	0.0
?a  term0  ?f  ?b  term22  ?f   => ?a  term22  ?b	0.026143791	0.037383178	0.129032258	4	107	31	?a	0.0	0.0	0.0
?a  term2  ?f  ?b  term22  ?f   => ?a  term22  ?b	0.065359477	0.052083333	0.128205128	10	192	78	?a	0.0	0.0	0.0
?b  term11  ?f  ?f  term18  ?a   => ?a  term22  ?b	0.673202614	0.101980198	0.224400871	103	1010	459	?a	0.0	0.0	0.0
?b  term11  ?f  ?f  term22  ?a   => ?a  term22  ?b	0.620915033	0.185546875	0.191532258	95	512	496	?a	0.0	0.0	0.0
?a  term1  ?f  ?b  term22  ?f   => ?a  term22  ?b	0.078431373	0.042402827	0.12244898	12	283	98	?a	0.0	0.0	0.0
?f  term0  ?a  ?b  term22  ?f   => ?a  term22  ?b	0.039215686	0.048387097	0.24	6	124	25	?a	0.0	0.0	0.0
?b  term13  ?f  ?f  term16  ?a   => ?a  term22  ?b	0.718954248	0.073726542	0.164424514	110	1492	669	?a	0.0	0.0	0.0
?b  term11  ?f  ?a  term18  ?f   => ?a  term22  ?b	0.62745098	0.098059244	0.223255814	96	979	430	?a	0.0	0.0	0.0
?b  term13  ?f  ?a  term16  ?f   => ?a  term22  ?b	0.588235294	0.060934326	0.134730539	90	1477	668	?a	0.0	0.0	0.0
?b  term1  ?f  ?f  term15  ?a   => ?a  term22  ?b	0.77124183	0.107664234	0.212230216	118	1096	556	?a	0.0	0.0	0.0
?b  term1  ?f  ?a  term5  ?f   => ?a  term22  ?b	0.673202614	0.128911139	0.260759494	103	799	395	?a	0.0	0.0	0.0
?b  term1  ?f  ?a  term6  ?f   => ?a  term22  ?b	0.614379085	0.106939704	0.194616977	94	879	483	?a	0.0	0.0	0.0
?b  term13  ?f  ?a  term7  ?f   => ?a  term22  ?b	0.751633987	0.061761547	0.120292887	115	1862	956	?a	0.0	0.0	0.0
?b  term11  ?f  ?a  term22  ?f   => ?a  term22  ?b	0.62745098	0.181132075	0.181132075	96	530	530	?a	0.0	0.0	0.0
?f  term16  ?a  ?b  term4  ?f   => ?a  term22  ?b	0.660130719	0.066142764	0.135752688	101	1527	744	?a	0.0	0.0	0.0
?a  term19  ?f  ?b  term4  ?f   => ?a  term22  ?b	0.026143791	0.129032258	0.444444444	4	31	9	?a	0.0	0.0	0.0
?b  term4  ?f  ?a  term8  ?f   => ?a  term22  ?b	0.588235294	0.055418719	0.106382979	90	1624	846	?a	0.0	0.0	0.0
?a  term13  ?f  ?b  term7  ?f   => ?a  term22  ?b	0.758169935	0.062298604	0.115308151	116	1862	1006	?a	0.0	0.0	0.0
?a  term4  ?f  ?b  term7  ?f   => ?a  term22  ?b	0.267973856	0.043897216	0.103274559	41	934	397	?a	0.0	0.0	0.0
?a  term24  ?f  ?b  term7  ?f   => ?a  term22  ?b	0.013071895	0.1	0.1	2	20	20	?a	0.0	0.0	0.0
?f  term18  ?a  ?b  term9  ?f   => ?a  term22  ?b	0.60130719	0.083484574	0.17037037	92	1102	540	?a	0.0	0.0	0.0
?f  term15  ?a  ?b  term9  ?f   => ?a  term22  ?b	0.549019608	0.058455115	0.122627737	84	1437	685	?a	0.0	0.0	0.0
?a  term5  ?f  ?b  term9  ?f   => ?a  term22  ?b	0.516339869	0.057960382	0.120426829	79	1363	656	?a	0.0	0.0	0.0
?a  term18  ?f  ?b  term9  ?f   => ?a  term22  ?b	0.614379085	0.086397059	0.171532847	94	1088	548	?a	0.0	0.0	0.0
?f  term1  ?a  ?b  term15  ?f   => ?a  term22  ?b	0.424836601	0.0528026	0.104333868	65	1231	623	?a	0.0	0.0	0.0
?b  term15  ?f  ?a  term2  ?f   => ?a  term22  ?b	0.346405229	0.077941176	0.120181406	53	680	441	?a	0.0	0.0	0.0
?b  term10  ?f  ?f  term22  ?a   => ?a  term22  ?b	0.666666667	0.179261863	0.184448463	102	569	553	?a	0.0	0.0	0.0
?b  term10  ?f  ?f  term15  ?a   => ?a  term22  ?b	0.614379085	0.069992554	0.136826783	94	1343	687	?a	0.0	0.0	0.0
?b  term10  ?f  ?a  term22  ?f   => ?a  term22  ?b	0.62745098	0.168421053	0.168421053	96	570	570	?a	0.0	0.0	0.0
?b  term10  ?f  ?a  term6  ?f   => ?a  term22  ?b	0.588235294	0.066815145	0.127659574	90	1347	705	?a	0.0	0.0	0.0
?f  term16  ?a  ?b  term3  ?f   => ?a  term22  ?b	0.549019608	0.055299539	0.128244275	84	1519	655	?a	0.0	0.0	0.0
?b  term3  ?f  ?f  term7  ?a   => ?a  term22  ?b	0.470588235	0.097826087	0.104803493	72	736	687	?a	0.0	0.0	0.0
?a  term16  ?f  ?b  term3  ?f   => ?a  term22  ?b	0.483660131	0.070745698	0.150406504	74	1046	492	?a	0.0	0.0	0.0
?b  term3  ?f  ?a  term8  ?f   => ?a  term22  ?b	0.287581699	0.062857143	0.1232493	44	700	357	?a	0.0	0.0	0.0
?a  term19  ?f  ?b  term3  ?f   => ?a  term22  ?b	0.013071895	0.181818182	0.666666667	2	11	3	?a	0.0	0.0	0.0
?f  term16  ?a  ?b  term17  ?f   => ?a  term22  ?b	0.555555556	0.059774965	0.133858268	85	1422	635	?a	0.0	0.0	0.0
?b  term17  ?f  ?a  term8  ?f   => ?a  term22  ?b	0.607843137	0.118622449	0.21728972	93	784	428	?a	0.0	0.0	0.0
?b  term21  ?f  ?f  term7  ?a   => ?a  term22  ?b	0.300653595	0.142414861	0.155932203	46	323	295	?a	0.0	0.0	0.0
?b  term21  ?f  ?a  term7  ?f   => ?a  term22  ?b	0.254901961	0.055007052	0.116766467	39	709	334	?a	0.0	0.0	0.0
?a  term16  ?f  ?b  term21  ?f   => ?a  term22  ?b	0.300653595	0.091089109	0.200873362	46	505	229	?a	0.0	0.0	0.0
?f  term16  ?a  ?b  term21  ?f   => ?a  term22  ?b	0.267973856	0.065705128	0.146953405	41	624	279	?a	0.0	0.0	0.0
?b  term0  ?f  ?f  term18  ?a   => ?a  term22  ?b	0.111111111	0.049853372	0.123188406	17	341	138	?a	0.0	0.0	0.0
?b  term0  ?f  ?a  term18  ?f   => ?a  term22  ?b	0.098039216	0.038167939	0.109489051	15	393	137	?a	0.0	0.0	0.0
?b  term12  ?f  ?f  term16  ?a   => ?a  term22  ?b	0.562091503	0.081208687	0.15248227	86	1059	564	?a	0.0	0.0	0.0
?b  term12  ?f  ?a  term8  ?f   => ?a  term22  ?b	0.568627451	0.061789773	0.112987013	87	1408	770	?a	0.0	0.0	0.0
?f  term1  ?a  ?b  term5  ?f   => ?a  term22  ?b	0.509803922	0.146067416	0.249201278	78	534	313	?a	0.0	0.0	0.0
?f  term10  ?a  ?b  term5  ?f   => ?a  term22  ?b	0.333333333	0.095149254	0.11038961	51	536	462	?a	0.0	0.0	0.0
?a  term1  ?f  ?b  term5  ?f   => ?a  term22  ?b	0.673202614	0.128911139	0.211934156	103	799	486	?a	0.0	0.0	0.0
?b  term5  ?f  ?a  term9  ?f   => ?a  term22  ?b	0.516339869	0.057960382	0.123630673	79	1363	639	?a	0.0	0.0	0.0
?f  term2  ?a  ?b  term5  ?f   => ?a  term22  ?b	0.405228758	0.110714286	0.196825397	62	560	315	?a	0.0	0.0	0.0
?b  term14  ?f  ?f  term7  ?a   => ?a  term22  ?b	0.104575163	0.144144144	0.155339806	16	111	103	?a	0.0	0.0	0.0
?b  term14  ?f  ?a  term16  ?f   => ?a  term22  ?b	0.078431373	0.075949367	0.139534884	12	158	86	?a	0.0	0.0	0.0
?b  term14  ?f  ?a  term8  ?f   => ?a  term22  ?b	0.071895425	0.055555556	0.134146341	11	198	82	?a	0.0	0.0	0.0
?a  term15  ?f  ?b  term2  ?f   => ?a  term22  ?b	0.339869281	0.076470588	0.160990712	52	680	323	?a	0.0	0.0	0.0
?b  term14  ?f  ?f  term16  ?a   => ?a  term22  ?b	0.098039216	0.083333333	0.194805195	15	180	77	?a	0.0	0.0	0.0
?f  term10  ?b  ?a  term22  ?f   => ?a  term22  ?b	0.640522876	0.269972452	0.269972452	98	363	363	?a	0.0	0.0	0.0
?f  term11  ?b  ?a  term22  ?f   => ?a  term22  ?b	0.614379085	0.189134809	0.189134809	94	497	497	?a	0.0	0.0	0.0
?b  term24  ?f  ?a  term7  ?f   => ?a  term22  ?b	0.026143791	0.2	0.5	4	20	8	?a	0.0	0.0	0.0
?b  term19  ?f  ?f  term4  ?a   => ?a  term22  ?b	0.019607843	0.1	0.214285714	3	30	14	?a	0.0	0.0	0.0
?f  term10  ?b  ?a  term18  ?f   => ?a  term22  ?b	0.653594771	0.144927536	0.328947368	100	690	304	?a	0.0	0.0	0.0
?f  term11  ?b  ?a  term18  ?f   => ?a  term22  ?b	0.509803922	0.060138782	0.160164271	78	1297	487	?a	0.0	0.0	0.0
?b  term2  ?f  ?f  term6  ?a   => ?a  term22  ?b	0.418300654	0.168421053	0.17877095	64	380	358	?a	0.0	0.0	0.0
?f  term16  ?a  ?b  term24  ?f   => ?a  term22  ?b	0.019607843	0.088235294	0.214285714	3	34	14	?a	0.0	0.0	0.0
?b  term19  ?f  ?a  term4  ?f   => ?a  term22  ?b	0.026143791	0.129032258	0.307692308	4	31	13	?a	0.0	0.0	0.0
?a  term11  ?f  ?f  term18  ?b   => ?a  term22  ?b	0.692810458	0.104950495	0.198130841	106	1010	535	?a	0.0	0.0	0.0
?a  term11  ?f  ?f  term22  ?b   => ?a  term22  ?b	0.62745098	0.1875	0.327645051	96	512	293	?a	0.0	0.0	0.0
?a  term11  ?f  ?f  term6  ?b   => ?a  term22  ?b	0.392156863	0.086330935	0.173913043	60	695	345	?a	0.0	0.0	0.0
?a  term11  ?f  ?f  term15  ?b   => ?a  term22  ?b	0.379084967	0.049956934	0.113948919	58	1161	509	?a	0.0	0.0	0.0
?f  term4  ?b  ?a  term8  ?f   => ?a  term22  ?b	0.607843137	0.058052434	0.112864078	93	1602	824	?a	0.0	0.0	0.0
?f  term7  ?b  ?a  term8  ?f   => ?a  term22  ?b	0.535947712	0.051669817	0.1001221	82	1587	819	?a	0.0	0.0	0.0
?f  term3  ?b  ?a  term8  ?f   => ?a  term22  ?b	0.339869281	0.065326633	0.11738149	52	796	443	?a	0.0	0.0	0.0
?f  term17  ?b  ?a  term8  ?f   => ?a  term22  ?b	0.797385621	0.113172542	0.218637993	122	1078	558	?a	0.0	0.0	0.0
?f  term7  ?b  ?a  term7  ?f   => ?a  term22  ?b	0.673202614	0.065025253	0.135883905	103	1584	758	?a	0.0	0.0	0.0
?f  term13  ?b  ?a  term8  ?f   => ?a  term22  ?b	0.633986928	0.100103199	0.17896679	97	969	542	?a	0.0	0.0	0.0
?f  term13  ?b  ?a  term7  ?f   => ?a  term22  ?b	0.68627451	0.088161209	0.176767677	105	1191	594	?a	0.0	0.0	0.0
?f  term13  ?b  ?a  term16  ?f   => ?a  term22  ?b	0.862745098	0.112244898	0.242647059	132	1176	544	?a	0.0	0.0	0.0
?a  term16  ?f  ?f  term17  ?b   => ?a  term22  ?b	0.640522876	0.065771812	0.131897712	98	1490	743	?a	0.0	0.0	0.0
?f  term21  ?b  ?a  term7  ?f   => ?a  term22  ?b	0.418300654	0.072727273	0.151658768	64	880	422	?a	0.0	0.0	0.0
?a  term16  ?f  ?f  term21  ?b   => ?a  term22  ?b	0.62745098	0.139737991	0.271954674	96	687	353	?a	0.0	0.0	0.0
?f  term11  ?b  ?a  term6  ?f   => ?a  term22  ?b	0.640522876	0.0713246	0.134430727	98	1374	729	?a	0.0	0.0	0.0
?f  term2  ?b  ?a  term6  ?f   => ?a  term22  ?b	0.522875817	0.136054422	0.239520958	80	588	334	?a	0.0	0.0	0.0
?f  term1  ?b  ?a  term6  ?f   => ?a  term22  ?b	0.405228758	0.092953523	0.185628743	62	667	334	?a	0.0	0.0	0.0
?f  term10  ?b  ?a  term6  ?f   => ?a  term22  ?b	0.267973856	0.081836327	0.165991903	41	501	247	?a	0.0	0.0	0.0
?a  term16  ?f  ?f  term3  ?b   => ?a  term22  ?b	0.392156863	0.048820179	0.102389078	60	1229	586	?a	0.0	0.0	0.0
?a  term13  ?f  ?f  term7  ?b   => ?a  term22  ?b	0.575163399	0.078222222	0.141935484	88	1125	620	?a	0.0	0.0	0.0
?a  term13  ?f  ?f  term16  ?b   => ?a  term22  ?b	0.751633987	0.077077748	0.140073082	115	1492	821	?a	0.0	0.0	0.0
?f  term11  ?b  ?a  term15  ?f   => ?a  term22  ?b	0.281045752	0.043390515	0.100702576	43	991	427	?a	0.0	0.0	0.0
?f  term1  ?b  ?a  term5  ?f   => ?a  term22  ?b	0.516339869	0.147940075	0.319838057	79	534	247	?a	0.0	0.0	0.0
?f  term2  ?b  ?a  term5  ?f   => ?a  term22  ?b	0.418300654	0.114285714	0.225352113	64	560	284	?a	0.0	0.0	0.0
?f  term10  ?b  ?a  term15  ?f   => ?a  term22  ?b	0.431372549	0.072847682	0.169230769	66	906	390	?a	0.0	0.0	0.0
?f  term1  ?b  ?a  term15  ?f   => ?a  term22  ?b	0.424836601	0.0528026	0.116696589	65	1231	557	?a	0.0	0.0	0.0
?f  term10  ?b  ?a  term5  ?f   => ?a  term22  ?b	0.287581699	0.082089552	0.173228346	44	536	254	?a	0.0	0.0	0.0
?f  term16  ?b  ?a  term4  ?f   => ?a  term22  ?b	0.647058824	0.064833006	0.147761194	99	1527	670	?a	0.0	0.0	0.0
?a  term4  ?f  ?f  term7  ?b   => ?a  term22  ?b	0.444444444	0.067460317	0.178947368	68	1008	380	?a	0.0	0.0	0.0
?a  term1  ?f  ?f  term15  ?b   => ?a  term22  ?b	0.745098039	0.104014599	0.19	114	1096	600	?a	0.0	0.0	0.0
?a  term1  ?f  ?f  term22  ?b   => ?a  term22  ?b	0.091503268	0.054054054	0.152173913	14	259	92	?a	0.0	0.0	0.0
?a  term12  ?f  ?f  term7  ?b   => ?a  term22  ?b	0.54248366	0.08982684	0.195754717	83	924	424	?a	0.0	0.0	0.0
?a  term10  ?f  ?f  term22  ?b   => ?a  term22  ?b	0.640522876	0.172231986	0.362962963	98	569	270	?a	0.0	0.0	0.0
?a  term12  ?f  ?f  term16  ?b   => ?a  term22  ?b	0.633986928	0.091595845	0.198364008	97	1059	489	?a	0.0	0.0	0.0
?a  term10  ?f  ?f  term15  ?b   => ?a  term22  ?b	0.620915033	0.070737156	0.169340463	95	1343	561	?a	0.0	0.0	0.0
?a  term1  ?f  ?f  term6  ?b   => ?a  term22  ?b	0.08496732	0.03307888	0.115044248	13	393	113	?a	0.0	0.0	0.0
?f  term15  ?b  ?a  term9  ?f   => ?a  term22  ?b	0.562091503	0.059846903	0.126099707	86	1437	682	?a	0.0	0.0	0.0
?f  term18  ?b  ?a  term9  ?f   => ?a  term22  ?b	0.555555556	0.077132486	0.148601399	85	1102	572	?a	0.0	0.0	0.0
?a  term10  ?f  ?f  term6  ?b   => ?a  term22  ?b	0.189542484	0.057086614	0.118852459	29	508	244	?a	0.0	0.0	0.0
?a  term0  ?f  ?f  term6  ?b   => ?a  term22  ?b	0.124183007	0.044186047	0.115151515	19	430	165	?a	0.0	0.0	0.0
?a  term0  ?f  ?f  term18  ?b   => ?a  term22  ?b	0.098039216	0.04398827	0.109489051	15	341	137	?a	0.0	0.0	0.0
?f  term6  ?b  ?a  term9  ?f   => ?a  term22  ?b	0.169934641	0.067357513	0.13	26	386	200	?a	0.0	0.0	0.0
?a  term14  ?f  ?f  term7  ?b   => ?a  term22  ?b	0.071895425	0.099099099	0.275	11	111	40	?a	0.0	0.0	0.0
?a  term14  ?f  ?f  term16  ?b   => ?a  term22  ?b	0.065359477	0.055555556	0.192307692	10	180	52	?a	0.0	0.0	0.0
?a  term21  ?f  ?f  term7  ?b   => ?a  term22  ?b	0.320261438	0.151702786	0.16442953	49	323	298	?a	0.0	0.0	0.0
?a  term2  ?f  ?f  term6  ?b   => ?a  term22  ?b	0.424836601	0.171052632	0.264227642	65	380	246	?a	0.0	0.0	0.0
?a  term0  ?f  ?f  term22  ?b   => ?a  term22  ?b	0.032679739	0.055555556	0.178571429	5	90	28	?a	0.0	0.0	0.0
?f  term16  ?b  ?a  term20  ?f   => ?a  term22  ?b	0.032679739	0.005128205	0.238095238	5	975	21	?a	0.0	0.0	0.0
?f  term16  ?b  ?a  term24  ?f   => ?a  term22  ?b	0.013071895	0.058823529	0.111111111	2	34	18	?a	0.0	0.0	0.0
?f  term16  ?b  ?a  term3  ?f   => ?a  term22  ?b	0.529411765	0.053324556	0.103580563	81	1519	782	?a	0.0	0.0	0.0
?a  term3  ?f  ?f  term7  ?b   => ?a  term22  ?b	0.483660131	0.100543478	0.164444444	74	736	450	?a	0.0	0.0	0.0
?a  term2  ?f  ?f  term22  ?b   => ?a  term22  ?b	0.045751634	0.039548023	0.101449275	7	177	69	?a	0.0	0.0	0.0
?a  term17  ?f  ?f  term7  ?b   => ?a  term22  ?b	0.522875817	0.085378869	0.209973753	80	937	381	?a	0.0	0.0	0.0
?a  term20  ?f  ?f  term7  ?b   => ?a  term22  ?b	0.019607843	0.005136986	0.176470588	3	584	17	?a	0.0	0.0	0.0
?e  term11  ?b  ?e  term22  ?a   => ?a  term22  ?b	0.640522876	0.19140625	0.198380567	98	512	494	?a	0.0	0.0	0.0
