sub:1	obj:1	sub:42	obj:42	sub:25	obj:25	sub:39	obj:39	sub:23	obj:23	sub:6	obj:6	sub:27	obj:27	sub:26	obj:26	sub:40	obj:40	sub:8	obj:8	sub:4	obj:4	sub:34	obj:34	sub:29	obj:29	sub:31	obj:31	sub:18	obj:18	sub:35	obj:35	sub:33	obj:33	sub:37	obj:37	sub:19	obj:19	sub:45	obj:45	sub:3	obj:3	sub:30	obj:30	sub:7	obj:7	sub:44	obj:44	sub:2	obj:2	sub:41	obj:41	sub:17	obj:17	sub:20	obj:20	sub:5	obj:5	sub:14	obj:14	sub:38	obj:38	sub:21	obj:21	sub:22	obj:22	sub:32	obj:32	sub:9	obj:9	sub:13	obj:13	sub:12	obj:12	sub:28	obj:28	sub:0	obj:0	sub:43	obj:43	sub:11	obj:11	sub:16	obj:16	sub:24	obj:24	sub:36	obj:36	sub:10	obj:10	sub:15	obj:15
""	""	""	""	86	""	""	""	""	""	""	""	""	""	117	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
40	92	86	50	0	9	""	14	48	106	32	""	""	67	52	""	2	""	""	""	105	""	""	""	""	""	""	48	""	""	""	""	""	""	""	""	""	""	""	""	""	10	""	134	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	53	""	""	""	""	""	""	""	""	""	115	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
102	103	92	91	16	97	""	12	117	48	84	""	""	48	16	""	14	76	""	""	88	""	""	""	""	""	""	86	""	""	""	""	""	""	""	""	""	14	""	""	""	105	""	24	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
93	53	108	74	52	84	""	83	81	67	24	""	""	97	35	""	66	2	""	""	134	""	""	""	""	""	""	81	""	""	""	""	""	""	""	""	""	50	""	""	""	127	""	32	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
10	50	""	""	75	""	""	""	119	""	""	""	""	""	61	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	36	""	""	""	""	""	""	""	""	""	127	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
71	133	47	130	73	31	105	18	43	100	31	""	122	110	42	""	89	41	86	86	120	40	45	53	86	86	""	99	""	20	""	65	105	""	39	105	""	130	""	""	""	75	""	75	105	37	""	""	""	117	""	53	""	""	83	""	""	""	""	""	""	""	""	105	93	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	79	""	""	""	""	""	""	""	""	""	84	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
130	68	102	65	22	103	""	122	93	53	117	""	57	92	8	""	105	127	""	""	48	50	""	""	""	""	""	40	""	""	""	""	""	""	""	""	""	88	""	""	""	67	""	25	""	""	""	""	""	94	""	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	57	""	""	""	""	""	""	""	""	""	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	74	""	""	""	""	""	""	""	""	""	72	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	9	""	""	""	""	""	""	""	""	""	9	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	62	""	""	""	""	""	""	""	""	""	121	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4	""	""	""	126	""	""	""	""	""	""	""	""	""	17	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
7	51	7	7	124	15	87	132	15	15	54	29	3	15	51	96	29	15	15	29	124	51	8	11	7	29	79	101	64	59	112	42	29	112	87	87	52	101	112	85	39	29	34	87	29	29	85	7	39	64	34	11	113	29	132	73	58	59	29	87	107	40	78	29	15	""	61	96	70	98	131	35	20	99	123	114	19	26	131	27	21	131	45	26	21	21	""	96	40	50	""	""
91	""	""	""	89	""	""	""	""	""	""	""	""	""	78	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
98	59	110	89	87	100	14	89	31	18	75	""	58	61	73	""	102	93	48	105	130	92	""	122	105	105	""	110	""	45	""	39	37	""	50	50	""	89	""	""	""	17	""	126	37	74	""	""	""	81	""	122	""	""	2	""	""	""	""	""	""	""	""	37	117	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
73	112	73	59	132	8	110	133	3	133	85	105	131	59	132	""	28	99	107	98	42	34	26	131	34	98	""	34	48	131	""	38	98	86	89	130	""	59	88	33	""	71	""	71	78	98	""	86	""	43	""	100	""	105	6	""	""	97	86	86	""	50	""	110	107	""	79	""	102	39	20	""	""	127	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
107	110	78	92	30	120	""	68	17	77	104	""	37	130	3	""	40	33	105	74	93	105	""	12	50	74	""	31	""	""	""	""	""	""	""	""	""	40	""	""	""	102	""	60	""	""	""	""	""	24	""	9	""	""	""	""	""	""	""	""	""	""	""	74	24	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	48	""	""	""	""	""	""	""	""	""	114	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
54	11	29	29	7	101	59	29	11	11	30	40	8	42	7	""	87	85	64	59	15	29	0	133	101	59	39	87	107	98	106	61	59	102	28	28	115	42	120	107	""	64	116	59	28	28	130	0	""	22	95	3	79	40	113	""	123	120	102	102	41	86	""	59	22	""	130	39	26	23	41	20	""	104	""	123	""	21	21	26	""	""	""	""	""	""	""	""	""	""	""	""
75	89	19	105	59	55	""	53	68	93	44	""	66	93	133	""	114	24	50	""	117	74	""	""	""	""	""	102	""	""	""	""	""	""	""	""	""	97	""	""	""	81	""	93	""	""	""	""	""	10	""	83	""	""	""	""	""	""	""	""	""	""	""	""	94	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
134	14	""	""	18	91	""	""	94	2	""	""	""	74	100	""	""	""	""	""	""	""	""	""	""	""	""	94	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	32	""	""	""	""	""	""	""	""	""	24	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	68	""	""	""	""	""	""	""	""	""	60	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
50	""	""	""	118	""	""	""	""	""	""	""	""	""	89	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	91	""	""	""	""	""	""	""	""	""	91	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	88	""	""	""	""	""	""	""	""	""	32	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
39	""	""	""	26	""	""	""	""	""	""	""	""	""	26	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
87	29	87	73	54	30	98	3	64	30	22	86	27	133	15	""	59	71	71	0	112	113	131	18	73	0	""	30	117	27	2	130	0	92	110	110	""	34	106	41	""	28	""	22	98	0	10	92	""	99	""	133	39	86	77	""	""	89	92	92	""	74	""	0	99	""	97	""	23	55	58	""	""	24	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
27	77	60	79	133	128	""	40	104	104	93	""	21	102	34	""	58	84	74	""	92	62	""	119	""	""	""	104	""	""	""	""	""	""	""	""	""	86	""	""	""	86	""	102	""	""	""	""	""	127	""	12	""	""	""	""	""	""	""	""	""	""	""	""	10	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	24	""	""	""	""	""	""	""	""	""	79	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	102	""	""	""	""	""	""	""	""	""	128	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	21	""	""	""	""	""	""	""	""	""	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
88	66	""	""	70	76	""	""	72	57	""	""	""	50	18	""	""	""	""	""	""	""	""	""	""	""	""	72	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
110	98	126	40	3	126	50	6	75	17	77	""	20	120	64	""	103	81	134	14	60	106	""	20	13	14	""	43	""	""	""	""	50	""	""	""	""	38	""	""	""	104	""	89	""	""	""	""	""	67	""	106	""	""	""	""	""	""	""	""	""	""	""	14	48	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
127	2	""	""	61	""	""	""	57	""	""	""	""	""	27	""	""	""	""	""	""	""	""	""	""	""	""	50	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	12	""	""	""	""	""	""	""	""	""	62	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
79	83	129	""	5	109	""	""	4	83	57	""	""	12	43	""	""	""	""	""	""	""	""	""	""	""	""	4	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	128	""	""	""	""	""	""	""	""	""	19	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	50	""	""	""	""	""	""	""	""	""	80	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	106	""	""	""	""	""	""	""	""	""	97	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	65	""	""	""	""	""	""	""	""	""	49	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
59	3	28	98	29	99	40	98	71	107	99	50	55	0	29	""	27	131	40	102	0	0	20	6	78	102	""	22	10	102	""	79	40	74	92	40	""	110	2	121	""	107	""	43	40	92	""	37	""	17	""	6	""	50	106	""	""	65	""	""	""	""	""	40	75	""	39	""	129	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
43	100	89	108	113	46	""	102	77	6	41	""	12	89	113	""	92	48	10	50	40	37	""	83	""	50	""	75	""	""	""	""	""	""	""	""	""	82	""	""	""	93	""	104	""	""	""	""	""	32	""	4	""	""	""	""	""	""	""	""	""	""	""	50	134	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	25	""	""	""	""	""	""	""	""	""	103	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
48	62	91	""	96	65	""	""	127	62	94	""	""	65	107	""	""	""	""	""	""	""	""	""	""	""	""	127	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	123	""	""	""	""	""	""	""	""	""	83	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
29	101	69	87	15	69	28	87	112	64	133	92	0	87	54	""	113	35	0	28	29	112	27	100	29	28	""	64	93	110	62	120	28	40	98	98	""	87	130	118	""	30	""	28	0	52	41	40	""	71	63	113	10	92	18	""	66	130	40	40	10	105	""	28	71	""	82	""	19	102	55	""	""	81	""	66	""	""	""	45	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	6	""	""	""	""	""	""	""	""	""	6	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	104	""	""	""	""	""	""	""	""	""	104	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
30	73	59	0	11	52	102	28	133	99	71	74	19	22	11	""	110	27	93	89	52	16	58	77	0	89	""	28	134	89	""	97	89	62	40	102	""	98	62	10	""	99	""	110	102	89	""	105	""	75	""	77	""	74	53	""	""	88	50	50	""	""	""	102	31	""	65	""	21	129	45	""	""	94	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	20	""	""	""	""	""	""	""	""	""	105	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
89	102	95	39	28	40	""	86	44	122	81	""	""	122	22	""	20	4	""	""	97	""	""	""	""	""	""	44	""	""	""	""	""	""	""	""	""	105	""	""	""	24	""	117	""	""	""	""	""	72	""	119	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
32	13	""	""	100	14	""	""	83	72	""	""	""	21	31	""	""	""	""	""	""	""	""	""	""	""	""	91	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
13	""	""	""	120	""	""	""	""	""	""	""	""	""	120	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
64	87	34	28	101	85	89	59	113	71	35	37	26	28	101	""	98	43	130	110	73	133	55	26	52	110	""	59	67	26	""	82	110	106	102	89	""	28	39	84	""	98	""	98	89	110	""	106	""	31	""	18	""	37	68	""	""	79	105	105	""	""	""	89	43	""	88	""	116	13	21	""	""	4	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	119	""	""	""	""	""	""	""	""	""	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	114	""	""	""	""	""	""	""	""	""	81	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	97	""	""	""	""	""	""	""	""	""	48	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
